Country,Year,Total - all NACE activities,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers,Activities of extraterritorial organisations and bodies,GHG
Czechia,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Denmark,2007,324531.08,262004.13,14149.7,1027.81,13372.09,32028.39,96.62,205.77,1252.46,39.16,26.72,18.79,15.32,38.07,36.36,41.93,49.02,87.72,25.18,15.85,0,0,CH4
Germany,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Estonia,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Ireland,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Greece,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Spain,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
France,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Croatia,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Italy,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Cyprus,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Latvia,2007,61722.23,36045.96,4.11,757.34,1792.29,19241.4,139.45,395.57,636.97,114.92,10.32,11.24,248.31,35.93,52.28,1404.04,306.63,391.19,76.71,57.56,0,0,CH4
Lithuania,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Luxembourg,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Hungary,2007,347225.72,98730.53,21825.94,2884.57,59843.2,162698.15,34.81,191.11,397.37,25.16,71.71,53.73,92.42,62.17,57.42,114.54,59.92,48.42,13.62,20.92,0,0,CH4
Malta,2007,9156.06,1975.56,0.32,3.9,79.52,7058.13,3.4,6.24,18.14,2.31,0.45,0.02,0.75,1.54,0.72,1,0.21,2.11,0.26,1.48,0,0,CH4
Netherlands,2007,748363.61,477704.38,34048.21,15772.91,3507.52,206788.93,144.8,1106.34,882.22,456.96,109.71,279.81,300.6,286.22,275.92,5104.5,372.01,700.73,245.97,275.89,0,0,CH4
Austria,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Poland,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Portugal,2007,395750.2,176568,866,4647,1863.1,208035,101.7,120.1,585.7,6.1,11.2,13,5.7,12.6,22.6,2828,8.9,40,6.5,9,0,0,CH4
Romania,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Slovenia,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Slovakia,2007,163889.9,43999.88,20951.32,18518.85,17289.06,52070.2,32.24,15.17,7904.97,239.77,1.29,0.27,387.11,751.96,259.48,556.6,173.2,289.95,211.21,237.35,0,0,CH4
Finland,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Sweden,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Iceland,2007,26857.9,14862.37,0.52,156.43,103.55,11536.24,149.26,2.33,21.49,0.11,0.21,23.47,0.21,0.26,0.34,0.61,0.03,0.09,0.16,0.09,0,0.13,CH4
Norway,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Switzerland,2007,190788.96,158455.94,3.66,738.94,2899,27149.04,97.89,220.11,150.96,101.56,32.62,61.09,21.84,86.67,91.73,259.35,9.44,118.48,245.06,45.57,0,0,CH4
Serbia,2007,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Türkiye,2007,1955750.3,1037875.07,242446.66,26803.76,44105.96,562151.62,3957.6,556.82,37239.11,147.65,12.65,20.99,17.7,53.15,28.75,125.73,69.42,80.4,7.17,47.37,1.69,1.04,CH4
European Union - 27 countries (from 2020),2008,16089081.74,8631853.71,1774972.73,410357.01,638776.18,4385915.21,6578.37,11658.01,182577.38,5466.22,1654.18,1724.28,1927.51,3768.35,2569.75,14216.04,4430.13,6313.26,1881.37,2397.27,44.75,0,CH4
Belgium,2008,318968.93,210714.88,2049.68,6341.67,22684.2,75420.73,219.16,182.4,740.23,36.47,22.41,15.34,1.98,39.82,45.1,108.26,61.16,60.27,70.67,123.36,31.14,0,CH4
Bulgaria,2008,236404.45,56182.69,46882.89,14470.37,329.89,117354.68,35.92,105.9,727.8,42.95,8.78,9.42,21.42,18.88,54.01,28.9,75.4,30.19,9.01,15.34,0,0,CH4
Czechia,2008,551147.03,146020.29,215564.83,6111.31,30395.05,151281.84,257.39,108.4,1172.55,12.28,13.31,7.91,43.82,15.58,40.37,28.03,26.65,30.26,8.12,9.06,0,0,CH4
Denmark,2008,319754.64,259551.37,12885.46,1044.16,13755.21,30802.47,73.78,171.56,1116.75,40.87,27.27,18.97,12.31,37.02,31.39,29.91,42.88,75.29,23.93,14.03,0,0,CH4
Germany,2008,2211588.09,1298179.1,185695.78,35413.97,119159.91,462202.08,812.21,3603.45,93177.6,1052.83,758.02,755.3,197.36,1092.66,269.5,2625.51,2164.43,3057.5,492.42,878.48,0,0,CH4
Estonia,2008,44793.06,25390.49,18.27,181.8,1576.65,17306.35,28.97,31.37,177.77,3.66,2.09,1.4,6.09,5.75,15.81,34.09,4.42,1.88,2.07,4.12,0.01,0,CH4
Ireland,2008,539894.04,519409.34,1243.42,346,2478,15876.14,6.92,49.45,162.46,60.95,6.47,3.01,2.44,11.01,10.77,62.57,46.08,86.37,25.52,7.13,0,0,CH4
Greece,2008,441380.18,197796.64,57451.6,1955.78,3189.13,179133.24,60.03,160.34,1549.13,13.19,4.47,1.38,0.02,13.21,4.59,31.37,3.56,4.07,3.47,4.96,0,0,CH4
Spain,2008,1550285.75,928704.78,25660.06,91271.1,16625.6,475524.31,3521.61,1153.72,2110.44,2456.76,178.35,128.37,252.21,255.51,237.02,638.34,294.57,707.64,274.29,285.09,5.97,0,CH4
France,2008,2420291.31,1719783.47,5015.6,14576.79,24349.26,617450.87,269.47,854.94,34784.15,374.67,101.83,98.73,51.67,219.24,704.36,660.44,310.51,276.96,246.11,162.24,0,0,CH4
Croatia,2008,143083.03,66863.13,7981.25,439.47,2678.31,64766.99,20.42,49.51,162.88,5.68,10.34,9.24,19.16,18.12,13.09,6.82,10.39,11.2,3.12,9.15,4.75,0,CH4
Italy,2008,1795539.72,782835.63,26098.4,73850.3,227157.65,680062.8,266.34,1541.69,2802.4,137.87,24.19,39.43,35.46,147.38,71.39,174.32,78.49,137.92,36.81,41.28,0,0,CH4
Cyprus,2008,34177.72,13882.26,1.93,1143.39,155.35,18823.91,12.51,16.24,55.48,68.51,0.81,0.92,0.39,1.31,2.97,6.34,0.75,0.74,0.79,1.6,1.53,0,CH4
Latvia,2008,61781.22,34894.11,3.35,571.53,3696.58,20619.28,45.09,208.03,332.14,28.69,5.21,3.81,158.14,56.75,32.82,759.17,169.17,148.16,35.21,13.97,0,0,CH4
Lithuania,2008,144377.99,79879.41,142.62,405.89,9186.57,53999.75,30.92,101.89,414.73,14.08,9.86,7.7,5.83,18.6,15.93,33.48,55.66,34.23,8.3,11.17,1.35,0,CH4
Luxembourg,2008,23777.55,17647.46,0.07,100.7,2045.7,3923.71,10.1,7.3,5.78,3,1.8,21.2,0.4,0.73,0.58,1.8,2.2,2.7,1.9,0.42,0,0,CH4
Hungary,2008,339152.29,96395.09,20312.79,2805.42,57811.49,160645.77,34.66,194,357.94,22.76,67.5,49.62,89.54,63.27,56.09,111,55.55,45.44,13.55,20.82,0,0,CH4
Malta,2008,5851.39,1887.08,0.31,3.79,78.98,3843.84,3.27,6.03,17.42,2.3,0.44,0.02,0.74,1.48,0.7,0.96,0.2,2.1,0.26,1.46,0,0,CH4
Netherlands,2008,754862.61,497309.91,35707.29,15319.94,3566.83,192268.77,143.6,1168.87,874.97,486.83,112.18,286.95,321.27,308.86,284.08,4982.19,405.6,755.65,263.88,294.93,0,0,CH4
Austria,2008,279963.15,177881.33,5566.69,3392.68,5658.77,86656.96,45.7,122.04,285.17,191.17,8.14,7.87,6.83,21,22.82,37.43,10.72,23.35,3.59,20.9,0,0,CH4
Poland,2008,1660008.07,565993.31,787886.3,5940.59,447.2,291572.14,36.79,1221.03,4438.34,113.35,172.75,140.94,111.25,527.62,153.62,372.72,337.67,289.59,113.65,139.2,0,0,CH4
Portugal,2008,389216.7,175791.3,848.2,3980.1,2014.4,202918.6,90,108.2,579.6,6.3,10.6,13.1,4.8,11.5,21,2758.5,8.4,37.4,6.1,8.6,0,0,CH4
Romania,2008,1159007.77,438912.55,302962.04,108341.81,65917.58,214939.13,315.51,329.56,26320.53,48.22,78.8,76.34,151.5,138.55,95.06,127.34,71.45,85.87,22.68,73.24,0,0,CH4
Slovenia,2008,82554.82,46078.44,12247.95,425.28,2113.53,21472.19,30.77,20.42,58.46,15.19,3.82,7.24,12.37,12.64,9.69,2.27,14.75,14.98,5.43,9.39,0,0,CH4
Slovakia,2008,164269.15,42583.87,22668.37,18859.82,16823.37,52850.44,31.97,15.72,7622.58,215.77,1.35,0.28,348.18,680.59,233.64,500.4,155.85,271.86,189.95,215.15,0,0,CH4
Finland,2008,201715.85,95704.53,17.64,1058.4,1009.66,101311.88,75.82,13.98,2266.6,2.71,6.32,12.38,17.48,3.81,116.41,43.57,8.87,17.42,8.16,20.18,0,0,CH4
Sweden,2008,215235.24,135581.26,59.93,2004.95,3871.28,72886.34,99.44,111.99,263.48,9.15,17.09,7.41,54.86,47.45,26.94,50.32,14.75,104.22,12.38,12,0,0,CH4
Iceland,2008,26425.23,15035.14,0.27,123.99,105.86,10964.97,141.02,2.21,24.99,0.1,0.18,24.68,0.19,0.24,0.36,0.57,0.03,0.08,0.11,0.08,0,0.15,CH4
Norway,2008,185635.75,99961.96,24812.18,12033.29,1057.07,44628.33,73.54,77.97,2913.83,3.16,0.72,0.09,8.2,4.15,4.16,40.06,2.78,11.14,0.95,2.06,0.09,0,CH4
Switzerland,2008,193830.48,162438.05,3.23,715.1,2799.95,26308.76,91.63,225.4,141.92,119.48,31.65,57.93,31.07,85.49,82.12,264.6,9.17,126.99,256.83,41.1,0,0,CH4
Serbia,2008,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Türkiye,2008,1943780.97,1003082.5,259005.55,25758.91,45421.84,567718.05,3242.85,555.43,38386.8,146.89,12.65,20.92,17.87,52.59,28.8,125.68,68.69,78.29,7.12,46.8,1.68,1.04,CH4
European Union - 27 countries (from 2020),2009,15745265.77,8590950.94,1618937.87,373676.3,620446,4306234.88,6201.72,11084.01,171536.95,5676.41,1540.9,1658.44,1888.02,3550.59,2455.38,14653.56,4367.46,6237.86,1891.98,2232.12,44.38,0,CH4
Belgium,2009,315839.44,212647.78,1981.58,4039.55,22815.01,72679.93,208.46,169.28,696.89,35.47,23.33,15.68,2.1,40.6,37.81,104.49,52.93,53.23,72.19,131.32,31.81,0,CH4
Bulgaria,2009,231716.95,55806.86,46001.38,9961.99,318.17,118524.73,35.94,89.15,718.87,32.96,8.26,8.91,16.44,17.35,42.31,24.08,66.42,23.03,7.88,12.19,0,0,CH4
Czechia,2009,519828.26,139095.69,184801.84,5530.35,32444.2,156217.24,236.16,137.8,1058.81,23.2,13.75,8.2,77.31,23.7,45.48,27.05,36.9,32.94,7.46,10.17,0,0,CH4
Denmark,2009,314008.68,258804.99,10332.45,1023.26,12693.62,29597.05,58.7,149.34,1014.1,37.16,24.36,16.3,10.35,34.23,26.33,32.23,45.21,73.06,23.44,12.48,0,0,CH4
Germany,2009,2113783.42,1304116.35,139166.45,33595.54,117539.48,412899.14,809.07,3328.6,90079.99,1031.51,637.4,695.05,155.87,1001.33,302.87,2397.65,1936.28,2891,474.4,725.45,0,0,CH4
Estonia,2009,45274.99,25516.91,1.35,239.84,1071.57,18122.45,17,28.3,177.41,2.43,1.88,1.22,8.16,5.28,7.09,59.56,7.15,2.05,2.04,3.3,0.01,0,CH4
Ireland,2009,524359.15,504463.88,1207.65,336.05,2406.69,15419.32,6.72,48.02,157.79,59.2,6.28,2.93,2.37,10.69,10.46,60.77,44.75,83.88,24.79,6.93,0,0,CH4
Greece,2009,428521.14,196582.5,56721,1731.71,2991.66,168639.28,63.63,151.66,1571.53,11.01,3.74,1.16,0.02,11.05,4.01,24.04,3,3.42,2.65,4.08,0,0,CH4
Spain,2009,1600738.06,944123.12,21801.76,82822.37,14948.54,524179.05,3415.18,1243.87,1778.08,2777.62,201.21,143.36,283.61,284.47,258.33,711.67,331.72,800.21,308.07,320.6,5.19,0,CH4
France,2009,2375380.47,1701725.67,4753.19,12400.91,25799.11,593768.13,216.42,849.7,32677.84,396.52,104.69,92.6,48.69,230.1,596.52,644.34,334.59,297.94,272.8,170.72,0,0,CH4
Croatia,2009,146184.98,67789.25,7751.38,432.49,2569.51,67273.32,19.41,50.72,164.93,6.47,11.29,10.73,22.33,19.92,14.22,6.53,11.71,12.59,3.45,10.02,4.72,0,CH4
Italy,2009,1792004.72,786529.28,22355.51,68652.91,225551.85,684159.63,233.53,1422.82,2228.31,127.78,21.3,36,32.46,88.52,62.38,190.59,86.03,151.7,35.46,38.67,0,0,CH4
Cyprus,2009,34166.22,13631.43,1.64,1086.54,154.02,19114.62,10.72,15.47,57.27,75.74,0.81,0.78,0.65,1.59,2.66,6.49,0.78,0.68,0.82,1.46,2.05,0,CH4
Latvia,2009,61715.36,34915.95,2.11,784.18,3441.55,20777.36,27.06,117.48,256.78,14.67,4.49,3.27,194.39,29.75,69.76,664.73,214.41,154.05,37.08,6.29,0,0,CH4
Lithuania,2009,140550.21,78380.39,128.05,231.52,8674.41,52461.61,21.37,80.44,346.44,13.75,9.78,8.93,6.19,18.28,17.21,35.71,58,36.08,9.81,11.67,0.6,0,CH4
Luxembourg,2009,23694.06,17562.45,0.06,81.61,2066.1,3929.82,8.8,7.7,5.25,4.2,2.05,15.4,0.46,0.74,0.6,1.5,2.4,2.9,1.6,0.42,0,0,CH4
Hungary,2009,330592.8,93874.05,20183.15,2526.2,51897.11,160955.57,30.2,179.51,312.5,23.86,71.2,58.73,101.14,66.5,57.05,116.25,56.8,48.15,12.79,22.02,0,0,CH4
Malta,2009,6390.69,1794.05,0.25,3.19,74.22,4484.58,2.99,5.49,16.74,1.88,0.4,0.02,0.63,1.36,0.64,0.91,0.18,1.71,0.21,1.22,0,0,CH4
Netherlands,2009,747639.13,505118.83,30016.39,15275.04,3877.21,182829.4,136.24,1042.74,767.2,436.32,96.54,257.42,271.98,282.16,247.66,5395.43,372.02,703.34,241.5,271.72,0,0,CH4
Austria,2009,276302.32,180799.83,5832.59,3299.03,5685.4,80022.74,41.87,90.01,245.96,160.12,5.6,6.47,4.89,14.77,16.16,34.74,8.48,15.7,2.59,15.37,0,0,CH4
Poland,2009,1585681,554845.41,751043.74,5657.48,419.34,265669.45,46.68,1333.29,3818.07,125.96,187.5,163.78,123.36,531.24,184.66,465.8,437.36,354.68,121.31,151.9,0,0,CH4
Portugal,2009,385125.9,174818.6,822.7,3886.8,2036.7,199742.7,82.7,97.6,541.3,6.3,9.3,13.1,3.9,9.9,19,2972.4,9.2,39.1,6,8.6,0,0,CH4
Romania,2009,1101382.44,421920.93,280100.18,98866.86,60053.64,215079.71,249.61,315.81,23912.25,44.54,72.76,69.24,135.49,126.69,88.28,116.61,64.54,77.72,21.06,66.52,0,0,CH4
Slovenia,2009,79609.11,45626.34,11994.53,429.64,1959.31,19408.28,24.45,16.95,48.27,15.85,3.52,3.72,10.13,18.16,5.67,1.5,14.51,16.02,6.02,6.24,0,0,CH4
Slovakia,2009,158250.89,41016.06,21865.32,17985.53,14127.17,54121.22,31.26,13.97,6458.69,202.46,1.21,0.25,326.8,636.72,219.21,469.75,146.24,249.66,178.28,201.09,0,0,CH4
Finland,2009,197648.8,95841.74,18.13,962.68,955.05,97402.41,75.54,10.54,2167.36,2.26,3.97,18.75,15.43,3.22,95.06,36.61,9.35,13.5,6.54,10.65,0,0,CH4
Sweden,2009,208876.61,133602.62,53.5,1833.02,3875.36,68756.13,91.99,87.75,258.34,7.19,14.28,6.44,32.88,42.27,23.96,52.11,16.51,99.5,11.75,11,0,0,CH4
Iceland,2009,26268.38,15288.02,0.26,127.44,94.62,10609.5,100.59,1.84,20.99,0.12,0.17,23.01,0.2,0.24,0.31,0.58,0.03,0.1,0.16,0.09,0,0.13,CH4
Norway,2009,185402.47,101477.34,22286.88,11265.68,1591.21,45460.93,66.38,73.62,3087.04,3.09,0.69,0.13,9.66,4.5,4.33,51.83,3.22,12.07,1.15,2.51,0.19,0,CH4
Switzerland,2009,190030.77,159736.38,2.48,615.93,2706.03,25440.75,85.59,216.42,125,107.35,34.01,57.27,27.97,83.4,75.62,261.42,8.92,127.82,277.34,41.06,0,0,CH4
Serbia,2009,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CH4
Türkiye,2009,1908271.6,978444.74,256135.62,25584.09,41024.65,568144.61,3310.9,559.11,34466.02,146.65,12.85,21.01,18.67,51.28,29.4,127.35,67.42,71.88,7.07,45.53,1.68,1.08,CH4
European Union - 27 countries (from 2020),2010,15489203.77,8460524.23,1579081.42,379406.27,641903.97,4189955.43,6217.14,12098.9,172260.23,6601.88,1574.32,1534.99,1931.91,3702.92,3444.69,13337.0,3866.62,7193.84,1880.81,2644.23,42.97,0.0,CH4
Belgium,2010,313349.91,214435.49,1970.76,4487.07,24985.67,65740.83,207.37,176.9,696.52,45.05,26.26,16.31,1.9,52.28,39.86,105.3,57.33,62.27,81.76,129.79,31.2,0.0,CH4
Bulgaria,2010,241058.75,62051.82,48421.06,10833.4,339.18,118415.86,30.41,77.26,678.1,25.52,7.41,7.88,12.65,15.31,33.37,19.37,56.18,17.71,6.65,9.62,0.0,0.0,CH4
Czechia,2010,526742.95,136721.47,184966.81,5287.54,34144.42,164064.51,212.53,123.41,985.88,18.57,13.55,5.84,37.99,25.23,36.57,23.73,25.38,31.02,7.42,11.09,0.0,0.0,CH4
Denmark,2010,318078.58,263074.68,10227.13,1071.89,15070.77,27072.41,62.16,148.24,1018.67,37.67,23.67,15.33,11.13,33.05,24.21,30.31,46.66,74.72,23.67,12.21,0.0,0.0,CH4
Germany,2010,2090828.18,1302279.31,137240.84,34264.51,121342.02,389167.62,1045.28,4251.96,87337.64,1384.96,618.73,635.91,207.61,1113.06,1386.24,2170.39,1365.77,3540.0,364.07,1112.23,0.04,0.0,CH4
Estonia,2010,45465.18,25997.04,9.71,230.64,1223.65,17673.82,29.57,31.74,187.66,2.89,1.66,1.15,7.06,4.95,7.06,43.07,7.22,1.47,1.82,3.02,0.0,0.0,CH4
Ireland,2010,513258.52,493524.56,1211.92,348.72,2520.73,15183.35,7.91,46.65,140.55,35.41,6.65,3.8,2.14,10.54,8.15,86.18,39.02,54.88,20.93,6.45,0.0,0.0,CH4
Greece,2010,437109.29,200550.18,49439.11,1830.31,3081.42,180259.59,48.82,144.96,1694.74,10.01,2.76,1.03,0.02,9.71,3.38,21.51,2.66,3.04,2.37,3.66,0.0,0.0,CH4
Spain,2010,1526210.65,912204.01,20281.73,85845.22,13745.53,479937.58,3296.98,1456.94,1715.99,3354.71,242.57,171.6,340.25,337.7,304.1,851.95,398.52,966.67,369.34,384.2,5.06,0.0,CH4
France,2010,2358674.5,1680979.31,4830.16,14400.4,26284.44,592976.73,170.63,786.34,35170.86,401.12,101.35,87.09,46.05,225.67,524.55,621.75,329.65,291.59,282.2,164.61,0.0,0.0,CH4
Croatia,2010,147570.61,67338.15,7631.28,390.62,2760.18,69104.88,18.57,48.18,148.27,6.37,10.89,10.56,22.02,19.26,13.82,6.04,11.49,12.31,3.38,9.75,4.58,0.0,CH4
Italy,2010,1781451.67,768960.43,24460.84,72232.76,234231.91,676704.42,214.38,1379.98,2424.48,111.99,18.61,33.07,29.66,78.35,55.99,187.57,90.1,169.98,32.43,34.71,0.0,0.0,CH4
Cyprus,2010,34554.75,13881.28,1.34,1147.37,149.24,19214.96,10.2,13.98,55.87,62.06,0.85,0.89,0.42,1.62,2.74,6.38,0.79,0.75,0.85,1.79,1.39,0.0,CH4
Latvia,2010,61153.83,34631.18,1.94,878.59,3393.9,20417.42,24.63,139.63,290.18,14.44,5.78,3.42,190.5,18.75,28.78,710.88,175.71,199.72,23.11,5.26,0.0,0.0,CH4
Lithuania,2010,139512.05,77304.02,127.73,354.31,9754.06,51266.77,21.05,68.89,370.72,14.63,10.32,9.55,6.87,21.3,19.01,38.39,62.69,39.84,9.32,11.88,0.69,0.0,CH4
Luxembourg,2010,23541.52,17671.86,0.07,93.23,2215.1,3494.63,9.6,10.3,6.11,3.9,2.61,17.2,0.7,0.95,1.0,2.9,3.7,3.8,3.1,0.77,0.0,0.0,CH4
Hungary,2010,328974.86,93054.93,20071.92,2638.11,52542.18,159529.87,26.45,177.79,272.05,23.07,70.56,60.54,117.05,72.64,55.45,118.63,57.83,49.19,14.81,21.81,0.0,0.0,CH4
Malta,2010,5884.43,1735.01,0.27,3.35,73.52,4033.69,2.97,5.64,18.36,2.76,0.41,0.02,0.81,1.35,0.64,0.94,0.19,2.52,0.32,1.67,0.0,0.0,CH4
Netherlands,2010,741619.71,509128.21,33050.85,15891.28,4246.18,169320.42,136.54,999.45,805.85,450.96,111.99,159.55,188.45,192.56,200.25,5170.11,358.78,741.62,249.5,217.15,0.0,0.0,CH4
Austria,2010,271485.49,181217.98,6241.71,3333.43,5767.89,74263.15,40.23,94.26,229.83,161.18,6.73,4.39,5.67,17.28,18.69,38.13,7.44,19.31,3.11,15.07,0.0,0.0,CH4
Poland,2010,1549621.22,555176.52,735483.1,6037.9,432.37,243294.36,42.66,1402.34,4714.4,128.49,191.7,178.95,129.88,526.72,215.33,506.78,488.5,390.72,125.14,155.37,0.0,0.0,CH4
Portugal,2010,377139.9,172755.7,814.6,4285.2,2175.8,194465.7,81.3,88.6,536.5,4.3,8.6,10.9,3.5,9.5,18.6,1828.2,8.2,31.7,5.2,7.8,0.0,0.0,CH4
Romania,2010,1017428.27,359090.55,262096.69,93220.39,59637.19,218225.71,259.72,296.51,23721.02,45.45,71.24,71.64,140.49,123.66,85.95,111.96,66.23,77.59,21.27,64.99,0.0,0.0,CH4
Slovenia,2010,78353.21,44812.08,11997.44,391.06,2023.97,18951.43,21.72,15.51,48.55,13.8,3.32,3.52,9.0,16.66,5.33,1.45,12.81,14.1,5.61,5.87,0.0,0.0,CH4
Slovakia,2010,156474.76,40853.57,18425.37,16977.85,14756.39,55556.57,30.71,13.28,6811.28,234.38,1.16,0.23,378.66,737.62,253.64,544.58,169.32,290.46,206.56,233.13,0.0,0.0,CH4
Finland,2010,199075.13,97421.26,18.08,987.91,1122.64,97306.9,78.64,18.49,1912.78,2.17,3.52,18.48,22.09,3.25,80.29,40.43,8.62,13.43,5.73,10.42,0.0,0.0,CH4
Sweden,2010,204585.84,133673.62,58.97,1943.23,3883.61,64312.23,86.13,81.66,267.36,6.01,11.42,6.16,19.36,33.96,21.7,50.08,15.83,93.45,11.15,9.92,0.0,0.0,CH4
Iceland,2010,26024.88,15100.18,0.28,129.06,185.99,10484.04,81.01,1.84,20.58,0.14,0.16,19.7,0.2,0.23,0.41,0.61,0.03,0.09,0.12,0.09,0.0,0.12,CH4
Norway,2010,182612.41,101084.66,20131.02,11707.09,1313.26,44834.07,67.44,70.32,3309.74,3.86,1.39,0.34,15.9,5.42,7.51,34.81,4.74,12.43,1.97,5.93,0.47,0.0,CH4
Switzerland,2010,189098.76,158775.19,2.28,649.38,3299.69,24796.28,80.56,219.68,122.76,116.54,33.33,55.17,19.61,86.58,70.54,276.72,9.43,127.23,311.95,45.83,0.0,0.0,CH4
Serbia,2010,284264.27,95780.48,76239.65,5532.83,6166.2,100110.65,15.75,106.99,35.7,14.39,14.64,38.96,5.37,27.39,34.45,41.48,36.28,44.86,7.07,11.14,0.0,0.0,CH4
Türkiye,2010,1984357.85,1043423.21,259895.98,26255.45,40849.1,575333.2,3255.15,532.94,34257.34,135.91,12.57,19.86,19.49,47.54,29.18,123.87,59.06,58.43,6.44,40.46,1.54,1.14,CH4
European Union - 27 countries (from 2020),2011,15225901.97,8390914.88,1561939.74,375644.97,627581.21,4042331.21,5180.69,11583.14,164905.71,6625.77,1520.37,1474.53,1782.12,3528.3,3410.28,12448.48,3435.12,7252.36,1782.69,2535.68,24.71,0.0,CH4
Belgium,2011,307078.23,213168.38,1923.44,3936.56,23227.12,63416.47,198.64,147.52,597.85,40.96,17.17,13.14,1.59,47.8,33.42,86.62,48.71,55.25,44.63,60.26,12.69,0.0,CH4
Bulgaria,2011,250899.81,62425.41,57795.33,9851.17,381.64,119491.61,30.17,76.98,644.95,25.43,6.82,7.09,12.52,14.17,32.96,18.49,51.88,17.66,6.18,9.33,0.0,0.0,CH4
Czechia,2011,524130.95,133238.86,185678.06,4967.35,32047.87,166810.58,185.19,125.58,867.81,18.55,11.59,6.07,30.39,20.45,30.35,24.19,23.29,29.3,6.65,8.82,0.0,0.0,CH4
Denmark,2011,312151.21,261046.15,8235.95,1043.5,12990.08,27347.36,55.01,110.34,1063.71,28.5,17.54,11.18,9.88,21.65,18.87,28.2,44.38,53.94,17.86,7.1,0.0,0.0,CH4
Germany,2011,2040060.72,1295425.98,129825.11,34136.48,121037.7,356984.93,1092.89,4224.9,83020.75,1428.7,645.43,651.38,217.73,1165.96,1538.11,2138.96,1234.86,3777.54,386.34,1126.94,0.04,0.0,CH4
Estonia,2011,43957.28,26513.56,19.41,272.26,1030.22,15705.99,41.65,52.06,167.28,9.63,1.54,0.99,9.31,5.18,8.11,92.62,17.73,2.95,2.85,3.93,0.01,0.0,CH4
Ireland,2011,512466.85,489068.05,1194.71,309.44,2195.31,19226.21,2.42,37.69,118.79,38.37,4.3,4.4,1.91,8.62,5.36,104.42,41.84,54.49,40.9,9.63,0.0,0.0,CH4
Greece,2011,429363.85,199198.99,51272.47,1863.08,3833.89,171497.35,53.09,127.76,1468.96,6.93,2.02,0.86,0.01,7.17,3.07,17.33,2.25,2.77,2.74,3.11,0.0,0.0,CH4
Spain,2011,1534846.11,902099.74,15006.4,85047.91,13112.94,506243.33,2259.98,1487.42,1558.58,3491.27,252.06,177.92,353.26,349.64,312.09,887.82,413.72,1005.99,382.88,398.57,4.6,0.0,CH4
France,2011,2290594.36,1653030.17,4289.67,12032.76,25677.4,558653.8,173.0,640.14,33587.04,324.18,77.38,68.85,39.59,174.17,439.53,557.64,235.63,240.06,221.62,131.74,0.0,0.0,CH4
Croatia,2011,146806.04,65688.37,6948.05,334.26,2657.89,70843.92,17.31,45.9,140.66,6.4,10.76,10.7,22.37,19.1,13.53,5.52,11.46,12.29,3.33,9.62,4.6,0.0,CH4
